epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3829.81,1.12048,1.61819,0.00611,0.38074,0.19915,0.23052,0.1739,1.44391,3.04708,0.01242,0.000494885,0.000494885,0.000494885
43,3914.16,1.09415,1.55696,0.00606,0.28189,0.31895,0.25017,0.18613,1.40544,3.00354,0.01137,0.000486639,0.000486639,0.000486639
44,3996.06,1.14185,1.5984,0.00606,0.43878,0.26196,0.28611,0.21205,1.37579,2.94387,0.01161,0.000478392,0.000478392,0.000478392
45,4078.86,1.06033,1.45103,0.0059,0.43457,0.25349,0.26922,0.19817,1.32254,2.97322,0.01064,0.000470145,0.000470145,0.000470145
46,4162.85,1.10009,1.54687,0.0058,0.36767,0.27881,0.26231,0.19201,1.36457,2.9298,0.01157,0.000461898,0.000461898,0.000461898
47,4249.62,1.05474,1.45627,0.00609,0.43468,0.25526,0.24366,0.1822,1.31981,3.06393,0.01087,0.000453652,0.000453652,0.000453652
48,4333.42,1.02157,1.43411,0.00576,0.26163,0.3033,0.26247,0.19673,1.34635,2.96545,0.0112,0.000445405,0.000445405,0.000445405
49,4417.43,1.07482,1.43929,0.00609,0.34596,0.31021,0.26315,0.19805,1.30998,2.95017,0.01056,0.000437158,0.000437158,0.000437158
50,4500.32,1.08148,1.4176,0.0061,0.31014,0.29955,0.25735,0.19887,1.32489,2.90669,0.0104,0.000428912,0.000428912,0.000428912
51,4584.8,1.02809,1.35513,0.00596,0.4035,0.31683,0.27023,0.19904,1.37936,2.93956,0.0116,0.000420665,0.000420665,0.000420665
52,4672.86,1.06182,1.39125,0.00538,0.39953,0.28143,0.26366,0.18565,1.39974,2.89526,0.01213,0.000412418,0.000412418,0.000412418
53,4760.09,1.04828,1.39044,0.00597,0.48816,0.24725,0.25867,0.1849,1.37498,2.93787,0.01157,0.000404172,0.000404172,0.000404172
54,4847.73,1.04312,1.33965,0.00564,0.35142,0.30216,0.27289,0.19884,1.34956,2.98691,0.01112,0.000395925,0.000395925,0.000395925
